data.val_dec_shape	data.train_dec_shape	data.enc_shape	result.val_loss	data.val_enc_shape	data.dec_shape	result.patience	data.test_dec_shape	data.label_counts	data.train_enc_shape	result.test_loss	conf.cell_size	conf.embedding_size	result.val_loss_th	result.epochs_run	result.running_time	conf.cell_type	data.test_enc_shape	result.train_loss
(19775, 118)	(159880, 118)	(200000, 117)	2.4332244396209717	(19775, 117)	(200000, 118)	10.0	(20345, 118)	{'B': 557404, 'GO': 200000, 'PAD': 21354286, 'E': 1488310}	(159880, 117)	2.4335651397705083	32.0	9.0	0.01	71.0	37.264367	LSTM	(20345, 117)	0.06571835279464723
(19775, 118)	(159880, 118)	(200000, 117)	5.521624565124512	(19775, 117)	(200000, 118)	10.0	(20345, 118)	{'B': 557404, 'GO': 200000, 'PAD': 21354286, 'E': 1488310}	(159880, 117)	5.523984909057617	128.0	22.0	0.01	372.0	438.57533499999994	GRU	(20345, 117)	0.001780858263373375
(19991, 118)	(160294, 118)	(200000, 117)	3.806312084197998	(19991, 117)	(200000, 118)	10.0	(19715, 118)	{'GO': 200000, 'B': 557404, 'E': 1488310, 'PAD': 21354286}	(160294, 117)	3.796151876449585	16.0	27.0	0.01	143.0	72.811258	LSTM	(19715, 117)	0.04579761251807213
(20000, 118)	(159841, 118)	(200000, 117)	0.13381089270114901	(20000, 117)	(200000, 118)	10.0	(20159, 118)	{'E': 1488310, 'PAD': 21354286, 'GO': 200000, 'B': 557404}	(159841, 117)	0.1340268850326538	256.0	1.0	0.01	31.0	72.481657	GRU	(20159, 117)	0.10083159804344176
(20000, 118)	(159841, 118)	(200000, 117)	8.709245681762695	(20000, 117)	(200000, 118)	10.0	(20159, 118)	{'E': 1488310, 'PAD': 21354286, 'GO': 200000, 'B': 557404}	(159841, 117)	8.712904930114746	32.0	29.0	0.01	270.0	171.74152800000005	GRU	(20159, 117)	0.004485858604311943
(20000, 118)	(159841, 118)	(200000, 117)	0.1321699321269989	(20000, 117)	(200000, 118)	10.0	(20159, 118)	{'E': 1488310, 'PAD': 21354286, 'GO': 200000, 'B': 557404}	(159841, 117)	0.1312999129295349	512.0	22.0	0.01	108.0	596.074957	GRU	(20159, 117)	0.035867616534233086
(19913, 118)	(160212, 118)	(200000, 117)	1.0789692401885986	(19913, 117)	(200000, 118)	10.0	(19875, 118)	{'PAD': 21354286, 'GO': 200000, 'E': 1488310, 'B': 557404}	(160212, 117)	1.0797851085662842	64.0	18.0	0.01	131.0	100.787434	GRU	(19875, 117)	0.0355529859662056
(19913, 118)	(160212, 118)	(200000, 117)	3.66861629486084	(19913, 117)	(200000, 118)	10.0	(19875, 118)	{'PAD': 21354286, 'GO': 200000, 'E': 1488310, 'B': 557404}	(160212, 117)	3.6778888702392583	16.0	10.0	0.01	104.0	44.451935	GRU	(19875, 117)	0.04165077209472656
(19913, 118)	(160212, 118)	(200000, 117)	0.19556497037410736	(19913, 117)	(200000, 118)	10.0	(19875, 118)	{'PAD': 21354286, 'GO': 200000, 'E': 1488310, 'B': 557404}	(160212, 117)	0.1957951337099076	64.0	4.0	0.01	37.0	29.81278	LSTM	(19875, 117)	0.106376513838768
(19913, 118)	(160212, 118)	(200000, 117)	0.5199977159500122	(19913, 117)	(200000, 118)	10.0	(19875, 118)	{'PAD': 21354286, 'GO': 200000, 'E': 1488310, 'B': 557404}	(160212, 117)	0.518903911113739	256.0	7.0	0.01	104.0	292.87331	LSTM	(19875, 117)	0.04439890012145042
(19913, 118)	(160212, 118)	(200000, 117)	0.14998479187488556	(19913, 117)	(200000, 118)	10.0	(19875, 118)	{'PAD': 21354286, 'GO': 200000, 'E': 1488310, 'B': 557404}	(160212, 117)	0.14942605793476105	256.0	28.0	0.01	101.0	300.715106	LSTM	(19875, 117)	0.04270404949784279
(19913, 118)	(160212, 118)	(200000, 117)	8.40052604675293	(19913, 117)	(200000, 118)	10.0	(19875, 118)	{'PAD': 21354286, 'GO': 200000, 'E': 1488310, 'B': 557404}	(160212, 117)	8.400554656982424	256.0	23.0	0.01	284.0	663.0667540000002	GRU	(19875, 117)	0.004362801089882851
(19913, 118)	(160212, 118)	(200000, 117)	3.0139055252075195	(19913, 117)	(200000, 118)	10.0	(19875, 118)	{'PAD': 21354286, 'GO': 200000, 'E': 1488310, 'B': 557404}	(160212, 117)	3.014267921447754	32.0	19.0	0.01	66.0	38.592309	LSTM	(19875, 117)	0.062348242849111564
(20138, 118)	(159777, 118)	(200000, 117)	0.2211657464504242	(20138, 117)	(200000, 118)	10.0	(20085, 118)	{'E': 1488310, 'GO': 200000, 'PAD': 21354286, 'B': 557404}	(159777, 117)	0.2211683839559555	128.0	5.0	0.01	79.0	104.012259	LSTM	(20085, 117)	0.04963495209813118
(20138, 118)	(159777, 118)	(200000, 117)	3.1699366569519043	(20138, 117)	(200000, 118)	10.0	(20085, 118)	{'E': 1488310, 'GO': 200000, 'PAD': 21354286, 'B': 557404}	(159777, 117)	3.1755704879760738	512.0	11.0	0.01	136.0	949.150903	LSTM	(20085, 117)	0.04447609558701515
(20138, 118)	(159777, 118)	(200000, 117)	0.12739160656929016	(20138, 117)	(200000, 118)	10.0	(20085, 118)	{'E': 1488310, 'GO': 200000, 'PAD': 21354286, 'B': 557404}	(159777, 117)	0.12777641415596008	512.0	28.0	0.01	111.0	620.413438	GRU	(20085, 117)	0.03413207083940506
(20138, 118)	(159777, 118)	(200000, 117)	5.123658180236816	(20138, 117)	(200000, 118)	10.0	(20085, 118)	{'E': 1488310, 'GO': 200000, 'PAD': 21354286, 'B': 557404}	(159777, 117)	5.137941360473633	16.0	4.0	0.01	139.0	54.119482	GRU	(20085, 117)	0.04824667423963547
(20152, 118)	(159810, 118)	(200000, 117)	0.12773342430591586	(20152, 117)	(200000, 118)	10.0	(20038, 118)	{'PAD': 21354286, 'B': 557404, 'GO': 200000, 'E': 1488310}	(159810, 117)	0.12781940400600433	64.0	1.0	0.01	52.0	40.521446999999995	LSTM	(20038, 117)	0.12497283518314364
